
num_trips,average_duration,start_station_id,start_station_name,start_dockcount,end_station_id,end_station_name,end_dockcount,subscribers,customers
1146,460.8080279232108,28,Mountain View Caltrain Station,23,30,Evelyn Park and Ride,15,1069,77
1143,450.98425196850394,82,Broadway St at Battery St,15,55,Temporary Transbay Terminal (Howard at Beale),23,1130,13
1139,1152.5548726953466,41,Clay at Battery,15,60,Embarcadero at Sansome,15,782,357
1134,881.208994708995,70,San Francisco Caltrain (Townsend at 4th),19,45,Commercial at Montgomery,15,1080,54
1133,977.0909090909079,72,Civic Center BART (7th at Market),23,67,Market at 10th,27,959,174
1131,892.6215738284717,77,Market at Sansome,27,74,Steuart at Market,23,865,266
1128,515.8563829787236,69,San Francisco Caltrain 2 (330 Townsend),23,62,2nd at Folsom,19,1085,43
1126,541.2362344582594,60,Embarcadero at Sansome,15,42,Davis at Jackson,15,978,148
1119,560.123324396783,11,MLK Library,19,2,San Jose Diridon Caltrain Station,27,1076,43
1117,1853.4046553267676,60,Embarcadero at Sansome,15,39,Powell Street BART,19,589,528
1115,383.1300448430496,82,Broadway St at Battery St,15,75,Mechanics Plaza (Market at Battery),19,1084,31
1112,305.26079136690635,55,Temporary Transbay Terminal (Howard at Beale),23,41,Clay at Battery,15,1100,12
1107,698.1345980126472,69,San Francisco Caltrain 2 (330 Townsend),23,72,Civic Center BART (7th at Market),23,1048,59
1101,419.8837420526797,71,Powell at Post (Union Square),19,63,Howard at 2nd,19,1064,37
1097,624.2269826800363,2,San Jose Diridon Caltrain Station,27,11,MLK Library,19,1033,64
1093,874.5260750228731,69,San Francisco Caltrain 2 (330 Townsend),23,42,Davis at Jackson,15,1058,35
1092,681.9075091575078,54,Embarcadero at Bryant,15,75,Mechanics Plaza (Market at Battery),19,1035,57
1089,288.90633608815466,62,2nd at Folsom,19,49,Spear at Folsom,19,1063,26
1087,709.1462741490342,70,San Francisco Caltrain (Townsend at 4th),19,47,Post at Kearny,19,1005,82
1084,784.4040590405903,66,South Van Ness at Market,19,65,Townsend at 7th,15,1043,41
1080,244.44722222222254,62,2nd at Folsom,19,55,Temporary Transbay Terminal (Howard at Beale),23,1068,12
1077,355.1142061281335,63,Howard at 2nd,19,57,5th at Howard,15,1015,62
1075,467.19162790697686,73,Grant Avenue at Columbus Avenue,19,56,Beale at Market,19,1027,48
1074,1360.760707635009,50,Harry Bridges Plaza (Ferry Building),23,76,Market at 4th,19,598,476
1072,936.134328358209,39,Powell Street BART,19,77,Market at Sansome,27,967,105
1072,1636.1856343283598,48,Embarcadero at Vallejo,15,50,Harry Bridges Plaza (Ferry Building),23,652,420
1059,300.9688385269122,5,Adobe on Almaden,19,2,San Jose Diridon Caltrain Station,27,995,64
1057,584.2894985808891,56,Beale at Market,19,48,Embarcadero at Vallejo,15,966,91
1055,585.5611374407575,74,Steuart at Market,23,64,2nd at South Park,15,972,83
1052,682.3193916349804,69,San Francisco Caltrain 2 (330 Townsend),23,76,Market at 4th,19,980,72
1046,854.945506692159,42,Davis at Jackson,15,61,2nd at Townsend,27,965,81
1045,773.6698564593304,72,Civic Center BART (7th at Market),23,69,San Francisco Caltrain 2 (330 Townsend),23,993,52
1045,386.97511961722535,73,Grant Avenue at Columbus Avenue,19,45,Commercial at Montgomery,15,996,49
1040,1000.6423076923089,82,Broadway St at Battery St,15,69,San Francisco Caltrain 2 (330 Townsend),23,1011,29
1035,376.34492753623175,41,Clay at Battery,15,55,Temporary Transbay Terminal (Howard at Beale),23,1014,21
1029,298.2876579203107,56,Beale at Market,19,45,Commercial at Montgomery,15,1009,20
1028,655.5817120622573,54,Embarcadero at Bryant,15,61,2nd at Townsend,27,813,215
1024,2624.326171875,71,Powell at Post (Union Square),19,60,Embarcadero at Sansome,15,405,619
1021,746.5142017629779,61,2nd at Townsend,27,42,Davis at Jackson,15,945,76
1017,625.6529006882981,7,Paseo de San Antonio,15,2,San Jose Diridon Caltrain Station,27,962,55
1015,1376.805911330048,50,Harry Bridges Plaza (Ferry Building),23,62,2nd at Folsom,19,961,54
1013,310.674234945705,74,Steuart at Market,23,51,Embarcadero at Folsom,19,976,37
1006,1047.094433399602,55,Temporary Transbay Terminal (Howard at Beale),23,66,South Van Ness at Market,19,944,62
1006,477.97713717693887,63,Howard at 2nd,19,50,Harry Bridges Plaza (Ferry Building),23,897,109
1003,788.8673978065807,69,San Francisco Caltrain 2 (330 Townsend),23,56,Beale at Market,19,972,31
1003,376.55333998005943,63,Howard at 2nd,19,74,Steuart at Market,23,946,57
1001,337.75424575424597,77,Market at Sansome,27,45,Commercial at Montgomery,15,976,25
1000,445.2249999999996,77,Market at Sansome,27,42,Davis at Jackson,15,955,45
1000,797.3040000000002,70,San Francisco Caltrain (Townsend at 4th),19,72,Civic Center BART (7th at Market),23,900,100
994,923.161971830986,55,Temporary Transbay Terminal (Howard at Beale),23,67,Market at 10th,27,952,42
984,736.0447154471545,59,Golden Gate at Polk,23,69,San Francisco Caltrain 2 (330 Townsend),23,949,35
984,938.8556910569097,2,San Jose Diridon Caltrain Station,27,9,Japantown,15,941,43
981,520.5300713557593,2,San Jose Diridon Caltrain Station,27,5,Adobe on Almaden,19,932,49
981,792.8990825688078,76,Market at 4th,19,74,Steuart at Market,23,539,442
974,893.383983572895,50,Harry Bridges Plaza (Ferry Building),23,75,Mechanics Plaza (Market at Battery),19,807,167
973,616.0914696813965,72,Civic Center BART (7th at Market),23,70,San Francisco Caltrain (Townsend at 4th),19,915,58
973,701.345323741007,65,Townsend at 7th,15,67,Market at 10th,27,901,72
970,622.4030927835046,54,Embarcadero at Bryant,15,69,San Francisco Caltrain 2 (330 Townsend),23,880,90
957,1661.7533960292576,50,Harry Bridges Plaza (Ferry Building),23,39,Powell Street BART,19,524,433
953,373.6190975865688,73,Grant Avenue at Columbus Avenue,19,41,Clay at Battery,15,891,62
952,1525.6386554621836,39,Powell Street BART,19,72,Civic Center BART (7th at Market),23,705,247
948,537.0189873417718,55,Temporary Transbay Terminal (Howard at Beale),23,63,Howard at 2nd,19,905,43
944,8170.68750000001,76,Market at 4th,19,76,Market at 4th,19,133,811
944,268.11440677966084,62,2nd at Folsom,19,64,2nd at South Park,15,901,43
940,507.5297872340418,48,Embarcadero at Vallejo,15,55,Temporary Transbay Terminal (Howard at Beale),23,904,36
932,684.3154506437766,76,Market at 4th,19,72,Civic Center BART (7th at Market),23,802,130
929,380.12594187298237,45,Commercial at Montgomery,15,42,Davis at Jackson,15,907,22
927,525.2384034519966,74,Steuart at Market,23,63,Howard at 2nd,19,878,49
